Thương hiệu,Số hiệu sản phẩm,Bộ sưu tập,Xuất xứ,Giới tính,Kính,Máy,Bảo hành quốc tế,Bảo hành tại Hải Triều,Đường kính mặt số,Bề dày mặt số,Niềng,Dây đeo,Màu mặt số,Chống nước,Chức năng,Nơi sản xuất,Giá
Orient Sun And Moon,RA-AS0103A10B,Orient Sun And Moon,Nhật Bản,Nam,Mineral Crystal,Automatic,1 năm,5 năm,41 mm,13 mm,Thép không gỉ,Dây da bò kiểu vân cá sấu,Xanh dương,3 ATM,Sun And Moon,Trung Quốc,12.130.000 ₫
FGW01003W0,,NaN,Nhật Bản,Nam,Sapphire,Quartz,1 năm,NaN,38mm,7mm,Thép không gỉ,Thép không gỉ,Trắng,5 ATM,Lịch Ngày,Trung Quốc,6.680.000 ₫
BM7521-85L,,NaN,Nhật Bản,Nam,Sapphire,Eco-Drive,1 năm,5 năm,39.5 mm,9.5 mm,Thép không gỉ,Thép không gỉ,Xanh navy,5 ATM,Lịch ngày,Trung Quốc,9.585.000 ₫
Mineral Crystal,RA-AA0B04R19B,Mineral Crystal,Nhật Bản,NaN,Mineral Crystal,Automatic,1 năm,5 năm,41.7 mm,12.6 mm,Thép không gỉ,Thép không gỉ,Đỏ đen,5 ATM,NaN,Trung Quốc,8.800.000 ₫
Orient SK,RA-AA0B03L19B,Orient SK,Nhật Bản,Nam,Mineral Crystal,Automatic,1 năm,5 năm,41.7 mm,12.6 mm,Thép không gỉ,Thép không gỉ,Xanh,5 ATM,Lịch ngày – Lịch thứ,Trung Quốc,8.000.000 ₫
Sapphire,NH9130-84L,NaN,Nhật Bản,Nam,Sapphire,Automatic,1 năm,5 năm,40 mm,10.7 mm,Thép không gỉ,NaN,Xanh dương,5 ATM,NaN,Trung Quốc,10.085.000 ₫
Orient Star,RE-AT0004S00B,Orient Star,Nhật Bản,Nam,Sapphire,Automatic,1 năm,5 năm,39.3 mm,12.2 mm,Thép không gỉ,Thép mạ vàng demi,Trắng,10 ATM(đi bơi được),NaN,Trung Quốc,21.460.000 ₫
Orient Esteem,FAG02003W0,Orient Esteem,Nhật Bản,Nam,Mineral Crystal,Automatic,1 năm,5 năm,41 mm,12 mm,Thép không gỉ,Dây da,Trắng,5 ATM,NaN,Trung Quốc,7.730.000 ₫
NaN,NaN,Seiko Prospex,NaN,NaN,Sapphire,Thép không gỉ,NaN,NaN,NaN,NaN,Thép không gỉ,NaN,NaN,NaN,NaN,NaN,22.000.000 ₫
NaN,NaN,NaN,NaN,NaN,Sapphire,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.260.000 ₫
The Longines Master Collection,L2.673.4.78.6,The Longines Master Collection,Thụy Sỹ,Nam,Sapphire,Automatic,2 năm,4 năm –,40 mm,11 mm,Thép không gỉ,Thép dáng Oyster,Bạc họa tiết Lúa mạch,3 ATM,Lịch –,Thụy Sỹ,94.875.000 ₫
